,author-id,lang,type,name
0,1a8645085de63f453413015479de2094,en,1.0,John Long
1,1f4c04378192c0bb26578e53afec0514,en,0.2,Helen Conner
2,066627d636e5aef4ece3077b1ad3b4d4,en,0.4,Vincent Loos
3,05e1527e1d7210f6da3a90d4c7e53dd7,en,0.4,Alfredo Nedley
4,25b6920ba3dcfabffd201908b1da59a4,en,0.0,Patricia Kulick
5,1946bfa3e2adc568cfdb5480bdf5829d,en,0.8,Ronnie Comstock
6,2f3cc3548bb713d94d1521fa745dd043,en,1.0,Hector Nash
7,20f4b6fd3cf0e111f6dc244a7cbef7ce,en,1.0,Janet Hockins
8,17e3dfe1537daffff9bc1bcefd4ce92f,en,0.8,Hilton Hazlewood
9,061a343a9faec7d73cedd1aedc59b07c,en,1.0,Jamey Mccollum
10,033b741821a47b223952d00ad3a96e1e,en,0.2,Allison Ruiz
11,059628dc5dc8b19d2a263766b6ca7622,en,1.0,Joseph Gorham
12,03ef536dad2f429dde26114bf382ac53,en,1.0,Craig Gregg
13,19bc6ea5778d9522cb8a604d4a63e590,en,0.0,David Roach
14,0d2c0d6880388acbb2efc910c6a7dba2,en,0.4,Eldon Goff
15,09b28c655303ec3e9d188e684b9aa223,en,1.0,Kim Hruby
16,14c19eb78928560a39963b0d3c7b6730,en,0.0,Marilyn Jones
17,07275a64a6a197f348253cd98bf6ddc5,en,0.2,David Specht
18,31b146da0cb255f9f134b2597e21401d,en,0.0,Paula Johns
19,4dc62f3d77d1e6e18a5c58980665562a,en,0.6,Wanda Colony
20,45ee3f1a19debe5ebfab04cdec11f7f8,en,0.8,Amy Rodriquez
21,4f51f7ce52aa416a7fbce6c6bc407ec7,en,0.6,Jaclyn Coleman
22,3cb15f3f9210854e9b37acec3227742c,en,0.8,Brian Klein
23,41f61a56460401a87f88098a1a771cb8,en,1.0,Ruby Hayes
24,314d4bf068314367bc83dc5ae3757e13,en,1.0,Walter Hicks
25,47281f2d023ef30fac5d756ab98f6489,en,1.0,Leland Garza
26,4f5870e6ba8f64b63afeda65ef3c8063,en,0.8,Angela Goodman
27,3348345aac7462125d72b02c3a19fe3d,en,1.0,Mamie Ogren
28,3db9f1096ad57fc1e12fc5a618724d2c,en,0.0,Anita Jack
29,4bc2923033bf7204c15bdc591dbab439,en,1.0,Mary Thompson
30,3bfce2890c9716b2a9a68cf9daef9acd,en,0.8,Rosemary Coxon
31,36ae4a2413580829537653a16e0d480f,en,0.0,Patricia Kinkel
32,3ec0653c7389121735613e3247a8ab6f,en,0.6,Scott Johanson
33,35dad41e25a45dcf6d7e3dd905dd0914,en,0.0,Gwendolyn Bryant
34,49b2850b60784dd6de6817c2a4c56851,en,1.0,Hiram Coffin
35,569ecaa72e07b2c81468e52d2c450756,en,0.6,Nicholas Garner
36,6a31281c75103db644fc0c330dc966ba,en,0.0,Jerome Guin
37,576699bcc461d3dd6a164ee62c34a2b6,en,0.8,Jessica Frederick
38,534ad05610bfda9f9b3662aed132da4e,en,0.8,Pablo Underwood
39,61d01d16e924206efa3bb7b098963a2c,en,1.0,Joseph Cline
40,6b593eaee15e416cf5d5afed09c7d029,en,0.8,Rob Salazar
41,6838d5b68f5e6d0aab4c492de5002614,en,0.0,Kenneth Mcdaniel
42,5ae45806800bbc1c378793eca6af14c9,en,1.0,Eric Davis
43,6adae25d708e0344fc84fea0c5907f75,en,0.0,Paul Ser
44,6121514142ddef4c8ebf4f8a77122d04,en,0.2,Rita Dahl
45,5f57628b5bddcbf35fec6cbca21da8ef,en,0.6,Antoinette Estrada
46,6ee20a888eeddbc4b8104664e0e76cd9,en,0.0,John Bermudez
47,69f39a45a0d82e84a34029cfdf873d5f,en,1.0,Sandra Keefer
48,5724d92d5cd1a777db48f68e679a94ca,en,1.0,Matthew Trager
49,6020a0d98a48ce42404d947a16141cc6,en,0.6,Brandy Smith
50,59906feef5409c0cbfad05969c12b959,en,0.0,Tina Yurek
51,71aeac91316151e5c0ddd0fadf96bfb7,en,0.0,Shizuko Wanty
52,8886f7672a830a0b5a0ff0913338b9d5,en,0.8,Stanley Thomas
53,9946abb814f66c4206d0aefab2e88f69,en,0.2,Kim Holmquist
54,93d00a337a35892918af0cc278077705,en,0.4,Donn Khoury
